Price,Baths,Beds,SQFT,Year ,Buy
479900,5,4,4067,1999,No
399900,3,4,3277,1928,No
224900,2,3,2379,1878,Yes
321500,3,4,2210,2017,No
144888,2,3,1442,2007,Yes
125000,2,4,1719,1975,Yes
192900,2,3,1665,1967,Yes
124900,2,3,1370,2000,Yes
499900,5,4,3250,2003,No
229900,2,3,2593,,Yes
245000,2,3,1792,1938,Yes
369900,3,4,2822,1991,No
95000,2,2,988,1977,Yes
259900,3,4,2745,1998,Yes
272000,2,4,1940,1928,Yes
116000,2,3,1420,1990,Yes
112500,1,3,955,1976,Yes
118900,1,3,1421,1965,Yes
159900,2,3,1596,1950,Yes
169900,2,3,1502,,Yes
99900,1,3,954,1981,Yes
274900,3,4,2342,2004,Yes
179900,2,4,1779,1966,Yes
288000,2,2,1921,2009,No
339900,4,4,2622,1991,No
244900,3,2,2358,1975,No
250000,4,4,2709,1981,Yes
196900,2,3,1356,2016,Yes
314900,2,2,1550,2007,No
90000,1,2,1050,1947,Yes
175000,2,3,1974,1951,Yes
188500,2,3,1824,2011,Yes
135000,1,2,1148,1923,Yes
199900,2,2,1365,1947,No
234900,4,3,1780,2008,Yes
150000,,3,,1947,Yes
161900,,3,1449,1994,Yes
459900,0,4,3272,2007,No
380000,0,2,1695,2009,No
192500,0,3,1721,1941,Yes
315000,0,4,2372,,No
117000,0,2,968,1930,Yes
179500,0,3,1691,1970,Yes
184900,0,2,1382,1976,No
131500,0,3,1520,1979,Yes
389900,0,2,1843,2009,No
129900,0,2,1197,2005,Yes
199900,0,3,1570,,Yes
105000,0,3,1070,1970,Yes
155000,0,4,1824,1956,Yes
304900,0,4,2460,2002,No
107500,0,3,940,1966,Yes
185000,0,3,1740,2008,Yes
249900,0,4,2206,1995,Yes
110000,0,3,2604,1968,Yes
229000,0,4,2160,1997,Yes
149900,0,3,1374,1984,Yes
182500,0,4,1996,1946,Yes
159900,0,3,1691,2005,Yes
129900,0,2,1416,2005,Yes
135000,0,3,1661,1954,Yes
183000,0,3,1834,1977,Yes
304900,0,4,1978,2017,No
132900,0,2,988,1929,Yes
115000,0,2,1579,,Yes
200000,0,3,2034,1985,Yes
127500,0,2,1193,1999,Yes
115000,0,2,1017,1983,Yes
234000,0,3,2105,2007,Yes
339900,0,4,2538,2006,No
112000,0,3,1088,1983,Yes
122000,0,3,2198,1955,Yes
185000,0,4,1604,2006,Yes
164900,0,3,1696,2004,Yes
109900,0,3,1182,1981,Yes
114900,0,3,1112,1968,Yes
169900,0,3,1736,1993,Yes
118000,0,3,1416,1918,Yes
229900,0,2,1814,1945,No
119999,0,3,2722,1958,Yes
189000,0,4,1945,1947,Yes
164900,0,2,1215,1976,No
145000,0,3,1707,1982,Yes
99900,0,3,936,,Yes
145900,0,3,1436,1985,Yes
99900,0,3,1000,,Yes
192900,0,4,2620,1974,Yes
114000,0,3,1189,1965,Yes
145900,0,4,1320,1950,Yes
154900,0,3,1458,1988,Yes
79900,0,3,1319,1970,Yes
375000,0,3,2206,2007,Yes
99900,0,3,1073,1967,Yes
132900,0,3,1346,1950,Yes
148000,0,4,1931,1961,Yes
239900,0,4,1968,2004,Yes
186900,0,3,1825,1903,Yes
154900,0,3,1685,1980,Yes
219900,0,4,2164,1998,Yes
179000,0,3,1697,2004,Yes
115000,0,3,1355,1959,Yes
