Expert Rating,ExpertNumber,Team,Vision,Product,Value of Token Sold in ICO,Status,Price in ICO,Price in ICO_1,Tokens for sale,Min. investment,Distributed in ICO,Soft cap,Hard cap
4.1,0,NA,NA,NA,2520000,Ended,0.05,0.05,5.00E+08,NA,50,2.00E+06,2.50E+07
4.3,4,5,4.4,4,NA,Ended,0.01,0.01,NA,1000,75,1.50E+07,27500000
3.7,2,3.6,2.4,1.6,2474160,Ended,0.8729,0.8729,54300000,100,70,1.00E+06,NA
4.3,3,4,4,4.4,NA,Ended,4.00E-04,4.00E-04,6.00E+09,0.1,15,1250,12500
4,1,3,2,2,NA,Ended,0.5,0.5,8.50E+07,1000,475,1.00E+06,4.80E+07
3.7,12,3.4,3.5,3.6,25940000,Trading,0.0179,0.0179,NA,100,70,5.00E+06,5.00E+07
4.2,2,4,4.4,4.4,NA,Ended,0.05,0.05,4.00E+08,NA,40,3.00E+06,2.00E+07
4.2,1,5,5,4,NA,Ended,0.0198,0.0198,5.00E+10,100,91,5.00E+06,5.00E+06
4,6,4.5,4,3.6,3.00E+06,Ended,0.12,0.12,3.00E+08,NA,NA,5000,33000
3.7,3,3.4,3.5,3.4,NA,Ended,0.084,0.084,1.50E+08,0.1,50,NA,1.50E+08
4.4,18,4.5,4.7,4.2,NA,Ended,1,1,NA,100,50,NA,3.00E+07
3.9,5,4,3.8,3.5,115000,Ended,0.0302,0.0302,4.05E+08,0.1,40,1.00E+05,30000
3.7,5,3.4,3.6,3.4,636511,Ended,0.0059,0.0059,3.00E+09,0.001,75,NA,12348913
2.8,7,2.4,2.3,2.3,2088675,Ended,0.0696,0.0696,3.30E+08,0.1,66,4000,40000
3.9,11,4.1,3.8,3.7,NA,Ended,0.021,0.021,381952000,NA,60,2048,32768
3.3,10,3.5,2.8,2.9,NA,Ended,0.1108,0.1108,1.10E+08,0.1,50,1800000,16500000
3.7,18,3.8,3.9,3.5,NA,Ended,1,1,4.00E+08,10,40,8.00E+06,1.50E+07
4.4,2,5,5,5,1848908,Ended,0.0147,0.0147,1.00E+09,NA,50,10000,35000
4.4,22,4.4,4.4,4.4,986750,Ended,0.0158,0.0158,4.40E+08,0.5,44,5000,10000
3.4,12,3.4,3.4,3.1,NA,Ended,0.2,0.2,1.75E+08,0.1,68,1.50E+07,1.75E+08
3.9,17,3.8,4,4,NA,Ended,0.0913,0.0913,5.00E+08,0.001,50,NA,35000
4.5,3,4.6,5,4.3,NA,Ended,0.08,0.08,3.25E+08,1,325,2600000,5.20E+07
4.2,57,4.3,4.3,3.9,820000,Trading,0.7592,0.7592,9.20E+07,0.1,56.5,4800000,1.00E+07
3.9,10,4,3.6,4,1764397,Ended,0.1,0.1,9.80E+07,50,56,1.00E+06,8.00E+06
4,5,3.8,4.5,3.6,21731500,Trading,0.158,0.158,151250000,0.5,60,10000,25000
4.2,9,4.2,4.4,4.2,3818880,Trading,0.0578,0.0578,1.00E+08,NA,50,NA,NA
4.1,0,NA,NA,NA,4.00E+06,Ended,0.1929,0.1929,1.60E+08,0.01,50,2000,30000
4.3,4,4.5,4.8,4.5,2661500,Ended,0.0177,0.0177,3.54E+08,NA,30,NA,25000
4.4,13,4.7,4.7,4.2,1500000,Ended,0.06,0.06,2.76E+08,0.1,42,NA,9800000
4,4,4,4.4,3.8,591600,Ended,0.087,0.087,5.04E+08,0.2451,42,2.00E+06,2.00E+07
4.4,3,5,5,4.3,NA,Trading,0.04,0.04,2.00E+09,NA,35,6.00E+06,2.80E+07
3.8,20,4,3.8,3.3,5.10E+07,Trading,0.1,0.1,NA,NA,NA,NA,5.00E+07
4,2,4,3,4.6,2850000,Ended,0.0451,0.0451,2.50E+08,0.1,50,2.50E+07,2.50E+08
3.8,5,3.8,3.9,3.3,1.00E+06,Ended,0.1,0.1,1.00E+09,NA,100,3.00E+06,6.00E+07
3.9,0,NA,NA,NA,NA,Ended,0.174,0.174,73500000,NA,75,5.00E+05,8.00E+06
4,3,4,4.7,4,NA,Ended,5,5,5.00E+09,100,20,NA,5.00E+09
4.4,15,4.4,4.8,4.2,16132900,Ended,0.4648,0.4648,NA,0.05,70,5000,3.50E+07
4,3,4,4.3,4,5025224,Trading,0.07,0.07,140714286,NA,61.25,3920000,9850000
4.2,14,4.4,4.4,4.2,NA,Ended,0,0,1.20E+08,0.1,60,3750,15000
4.3,2,5,5,5,NA,Ended,0.34,0.34,2.50E+07,0.07,50,4350,17500
3.5,16,3.7,3.5,2.9,7234387,Trading,1,1,NA,0.1,NA,5.00E+06,1.00E+07
3.9,11,4.1,3.7,4.1,NA,Ended,0.4048,0.4048,1.50E+07,NA,83.33,5.00E+05,7500000
4,3,3.7,5,3.3,NA,Ended,0.0911,0.0911,2.00E+08,0.15,57.1,350000,2.00E+07
4.5,17,4.8,4.5,4.6,NA,Ended,0.2,0.2,5.00E+08,NA,50,5.00E+06,3.50E+07
4.4,0,NA,NA,NA,317668,Ended,0.01,0.01,NA,NA,60,1250,15000
3.5,11,3.9,3.4,3,NA,Ended,0.1,0.1,2120089400,NA,6578,1.00E+07,2.12E+08
3.9,4,4.8,3.5,3.5,2.10E+07,Ended,0.75,0.75,3.50E+07,0.1,35,NA,NA
3.5,7,3.2,3.4,3.2,NA,Ended,0.0645,0.0645,6.00E+07,0.05,60,1500,15000
4.1,13,3.8,4.4,4.2,NA,Ended,0,0,2.00E+07,NA,33,5.00E+05,5.00E+06
4.4,20,4.5,4.5,4.5,NA,Ended,0.2,0.2,3.00E+08,0.01,33.33,NA,10000
3.9,29,4.1,3.6,3.9,1564307,Trading,2.15,2.15,7.00E+06,NA,70,2000,19000
3.8,2,3.7,3.7,3.3,6579738,Ended,0.1,0.1,2.10E+08,50,21,3.00E+06,2.00E+07
3.8,2,2.6,5,3.6,NA,Trading,0.2826,0.2826,22950000,0.01,51,5.00E+06,1.80E+07
4,28,4.4,4.1,3.7,250000,Ended,0.274,0.274,7.50E+07,0.1,50,NA,8800
3.7,5,3.9,3.4,3.3,9883347,Ended,0.5,0.5,5.20E+07,0.1,52,1800000,1.80E+07
4.6,9,5,4.9,4.7,5.00E+05,Ended,0.068,0.068,NA,NA,50,600,20000
3.7,1,1,4,4,1.90E+07,Trading,0.3497,0.3497,2.40E+08,0.5,40,NA,1.00E+05
4.3,30,4.4,4.5,4.2,NA,Ended,0.0458,0.0458,1.08E+09,NA,70,NA,NA
4.6,58,4.7,4.6,4.5,6200000,Ended,0.065,0.065,5.28E+08,3000,44,5.00E+06,3.00E+07
4.2,3,4.6,4.8,4.8,15420000,Ended,0.432,0.432,1.20E+08,NA,80,NA,3.60E+07
3.9,1,4,4,4,NA,Ended,0.0229,0.0229,2.25E+08,NA,90,NA,20000
3.6,22,3.3,3.8,3.7,10977534,Trading,0.376,0.376,86400000,NA,72,5.00E+05,3.00E+07
4,20,4.2,4.2,3.8,1.00E+06,Ended,0.085,0.085,5.00E+08,0.1,50,4.00E+07,5.00E+08
4.4,30,4.5,4.4,4.4,2402311,Ended,1,1,1.00E+08,1,75,3430000,1.60E+07
4.1,1,5,5,5,NA,Ended,0.0099,0.0099,3.10E+08,0.5,80,6.00E+05,1.00E+07
4.4,8,4.7,4.7,4.3,12600000,Ended,0.3,0.3,107445000,NA,39,1.00E+07,19465500
3.9,6,4.1,3.7,3.8,7.00E+05,Ended,0,0,6.00E+08,1,30,10,600
3.9,1,4,4,4,NA,Ended,0.2,0.2,2.40E+08,1,80,1500000,24535000
4,16,3.9,4.2,3.5,5688853,Trading,0.5,0.5,6.00E+07,NA,60,NA,NA
3.7,1,2,5,3,25352867,Ended,0.35,0.35,3.00E+08,NA,8.57,NA,87500000
3.8,0,NA,NA,NA,NA,Ended,0.87,0.87,2.50E+07,50,50,NA,2.00E+07
3.6,1,2,4,3,NA,Ended,0.25,0.25,2.10E+08,100,70,5.00E+06,4.50E+07
4,8,4.7,4.1,3.5,550000,Ended,0.1343,0.1343,230400000,0.01,64,NA,41000
3.2,3,2.1,4,1.4,NA,Ended,0.07,0.07,1.31E+09,500,87,5.00E+06,67500000
4,23,4.4,4.2,3.7,5.00E+07,Ended,0.2,0.2,3.25E+08,NA,50,1.50E+07,5.00E+07
3.7,12,4.2,3.3,3.3,7.00E+06,Trading,0.33,0.33,NA,0.1,50,9.00E+05,1.80E+07
4.3,3,4.4,4.4,4.1,NA,Ended,0.2,0.2,207500000,NA,50,NA,37000
3.5,2,3,2.2,2,7200000,Trading,0.017,0.017,1.53E+09,0.3,NA,5000,61200
3.9,6,4.3,3.6,4.2,2.30E+07,Trading,0.0304,0.0304,NA,1,80,60000,1.00E+05
4.5,58,4.5,4.6,4.5,28610353,Trading,0.0279,0.0279,4.08E+08,NA,408,5.00E+06,35578
3.4,9,3.5,3.1,3.1,1.50E+07,Trading,5.85,5.85,43200000,0.1,43.2,6500,12000
4.5,18,4.7,4.8,4.7,3.00E+07,Ended,0.1,0.1,3.00E+08,0.3,30,NA,3.00E+07
3.8,0,NA,NA,NA,NA,Ended,1,1,1.00E+08,10,10,5.00E+07,1.00E+08
3.5,3,2.6,3.2,2.6,4.00E+07,Trading,4.2957,4.2957,5.00E+07,NA,80,5.00E+06,250000
3.3,4,2.8,3.1,3,NA,Ended,1.25,1.25,3.00E+07,NA,60,3.00E+06,3.00E+07
4,8,4.2,4.5,4.2,2.00E+07,Trading,0.0848,0.0848,NA,0.05,NA,50000,1.00E+05
4.1,7,4.6,4.4,4.1,NA,Ended,1,1,2800000,10,85,NA,2.00E+07
3.6,1,2,4,3,4816000,Ended,0.1,0.1,8.55E+08,NA,57,5.00E+06,85500000
3.8,14,3.4,4,3.8,2670000,Trading,0.2323,0.2323,NA,NA,85,220000,2670000
3.8,7,4,3.7,3.9,14360529,Trading,0.676,0.676,73270000,NA,55,14000,1.00E+05
3.9,26,4,4,3.6,2050186,Ended,0.4215,0.4215,NA,0.5,40,NA,5000
3.8,0,NA,NA,NA,NA,Ended,0.6,0.6,32500000,NA,65,NA,2.00E+07
