Expert Rating,ExpertNumber,Team,Vision,Product,Value of Token Sold in ICO,Status,Price in ICO,Price in ICO_1,Tokens for sale,Min. investment,Distributed in ICO,Soft cap,Hard cap
3.8,14,4.3,3.7,3.7,NA,Ended,0.15,0.15,2.80E+07,NA,80,5.00E+05,5250000
3.8,8,3.8,4.7,3.9,3.50E+07,Trading,0.16,0.16,266400000,NA,30,2.00E+07,3.90E+07
3.4,0,NA,NA,NA,NA,Ended,0.15,0.15,7.00E+08,10,70,1.00E+07,5.00E+07
3.4,0,NA,NA,NA,NA,Ended,0.8636,0.8636,2.00E+07,NA,70,3000,24000
3.4,0,NA,NA,NA,2500000,Ended,0.1,0.1,32500000,0.1,65,322500,2500000
3.3,1,4,3,3,10824148,Ended,1.3762,1.3762,NA,NA,51,1.00E+05,2.00E+05
3.8,3,4.4,4.4,4.4,32895000,Trading,0.0632,0.0632,5.00E+08,NA,NA,NA,1.00E+05
3.4,0,NA,NA,NA,NA,Ended,1,1,1.00E+07,NA,72,3.00E+06,1.00E+07
2.9,2,2,2.4,2,NA,Ended,0.001,0.001,3.00E+10,0.1,75,1.00E+10,3.00E+10
3.4,0,NA,NA,NA,2129221,Ended,0.1,0.1,NA,NA,62.2,NA,NA
3.8,0,NA,NA,NA,6155000,Trading,0.6029,0.6029,NA,NA,NA,NA,NA
3.5,0,NA,NA,NA,7300000,Trading,0.457,0.457,1.50E+08,NA,30,NA,115000
3.5,6,3.6,3.8,3.1,2.50E+07,Trading,0.003,0.003,NA,1,NA,5.00E+06,2.50E+07
3.2,1,5,2,2,17640141,Ended,0.1,0.1,6.00E+08,NA,65,5.00E+06,5.00E+07
3.1,7,2.7,3.2,2.6,2.00E+07,Trading,0.15,0.15,6.00E+08,NA,50,NA,2.00E+07
3.9,7,4.8,4.1,3.5,5.00E+07,Ended,0.8884,0.8884,6.60E+07,NA,42.5,NA,6.60E+07
3.2,25,3.7,3.1,2.6,NA,Ended,0.1019,0.1019,4.00E+08,10,40,NA,3.50E+07
3.4,0,NA,NA,NA,NA,Trading,0.014,0.014,160200000,NA,60,NA,115000
3.5,1,4,4,4,NA,Ended,1,1,1.20E+12,0.1,97,10000,NA
3.2,0,NA,NA,NA,3.50E+07,Trading,0.56,0.56,NA,NA,NA,NA,10000
3,0,NA,NA,NA,7283717,Ended,3000,3000,NA,NA,NA,NA,4800000
3.3,0,NA,NA,NA,NA,Ended,0.0424,0.0424,4.00E+08,1,20,5000,40000
3.3,3,4,3.4,2.6,25500000,Trading,0.1,0.1,1.00E+09,NA,50,NA,25500000
3.3,6,4.3,3.8,3.3,17500000,Trading,0.6685,0.6685,5.00E+07,0.5,40,NA,2.00E+05
3.2,1,3,4,2,1.50E+07,Ended,0.3,0.3,3.00E+08,150,12,1.00E+07,3.00E+07
3.3,0,NA,NA,NA,4715000,Trading,0.49,0.49,14585000,0.001,73,NA,2.00E+07
3.1,16,3.3,3.3,2.7,16574400,Ended,0.106,0.106,4.00E+08,0.05,NA,NA,20000
3.2,0,NA,NA,NA,3.00E+07,Ended,189,189,6.40E+07,50,50,5700000,3.00E+07
3.3,0,NA,NA,NA,1.00E+06,Ended,1,1,1.00E+07,NA,1,1.00E+06,1.00E+07
3.7,0,NA,NA,NA,4803810,Ended,0.0083,0.0083,NA,NA,NA,NA,8250
3.3,1,4,5,4,NA,Ended,0.0462,0.0462,6.00E+09,1,60,10000,1.00E+05
3.5,1,5,5,5,26700000,Trading,2.13,2.13,NA,NA,NA,NA,70000
3.8,24,4,3.9,3.9,2.00E+07,Ended,0.1,0.1,204780000,NA,NA,NA,2.00E+07
3.4,0,NA,NA,NA,NA,Ended,0.09,0.09,2.50E+08,100,84,5.00E+05,2.00E+06
3.7,12,4.2,3.5,3.7,3.00E+07,Ended,0.5,0.5,6.00E+07,NA,60,2.00E+06,3.00E+07
3.5,2,4,4,3.7,NA,Ended,0.22,0.22,5.00E+07,0.2,55,5.00E+06,7.00E+06
3.2,0,NA,NA,NA,NA,Ended,0.0461,0.0461,9.00E+08,NA,30,NA,8000
3.3,1,4,4,5,8015720,Ended,0.0123,0.0123,NA,NA,NA,NA,NA
3.4,4,3.3,3.5,3.5,3876520,Ended,0.01,0.01,8.80E+08,0.1,59,8.00E+05,8.00E+06
3.3,0,NA,NA,NA,NA,Ended,0.12,0.12,2.23E+08,1000,558,5.00E+06,2.00E+07
2.7,3,1.9,2.4,1.9,141200,Ended,0.012,0.012,1.50E+09,0.01,58,1.00E+06,3.00E+06
3.3,0,NA,NA,NA,1392000,Ended,9,9,NA,0.1,NA,1200000,2000
3.6,3,4,4.3,4,3100000,Ended,39.97,39.97,1181031,NA,50,NA,NA
2.9,2,2.5,2,3,NA,Ended,0.0118,0.0118,1.30E+10,NA,65,NA,2.00E+08
3.8,39,3.6,4.2,3.8,NA,Ended,1,1,3.70E+07,200,92,NA,6.00E+06
3.3,0,NA,NA,NA,NA,Ended,0,0,1.05E+08,NA,35,NA,5.00E+07
3.3,1,3,3,3,1.50E+07,Ended,37,37,NA,NA,NA,NA,NA
3.2,3,3.8,2.8,2.8,9494319,Trading,0.1,0.1,1.25E+08,NA,NA,NA,NA
3.3,0,NA,NA,NA,NA,Ended,0.2217,0.2217,NA,0.1,13,NA,1.50E+07
3.4,0,NA,NA,NA,NA,Ended,0.33,0.33,64800000,0.1,60,1.00E+07,3.50E+07
3.3,0,NA,NA,NA,14726250,Ended,0.1081,0.1081,1.10E+08,NA,55,NA,35000
3.8,7,4,4.5,4,11500000,Trading,0.25,0.25,4.60E+07,NA,NA,NA,11500000
3.5,1,4,5,3,NA,Ended,0.6858,0.6858,30600000,NA,90,NA,NA
3.3,0,NA,NA,NA,201000,Ended,0.05,0.05,2.40E+08,NA,NA,2.00E+05,1.10E+07
2.7,2,2.6,2,1.4,480260,Ended,0.0011,0.0011,1.50E+10,0.5,60,10000,25000
3.2,1,2,3,3,3.60E+07,Trading,0.3,0.3,NA,NA,NA,NA,12600000
3.2,8,3.4,3.3,2.7,NA,Ended,0.02,0.02,1.50E+08,NA,15,1500000,3.00E+06
3,0,NA,NA,NA,NA,Ended,0.535,0.535,1.92E+08,NA,96,2.00E+05,NA
3.3,6,3.1,3.6,3.2,1725500,Trading,8.63,8.63,NA,NA,NA,NA,60000
3.3,3,3.6,3.6,3.4,5244313,Ended,1,1,NA,NA,NA,NA,NA
3.2,0,NA,NA,NA,1.00E+07,Ended,1,1,1.00E+09,NA,100,1.00E+06,1.00E+07
3.7,6,4.3,4,3.2,319800,Ended,0.051,0.051,3.00E+08,NA,30,NA,13500000
3.5,6,4,3.8,3.6,19500000,Ended,0.118,0.118,5.00E+08,NA,33,NA,19500000
3.2,0,NA,NA,NA,2.00E+06,Ended,0.24,0.24,1.65E+08,0.01,70,2.00E+06,2.00E+07
3.8,15,4,4.3,3.7,6256586,Ended,0.0016,0.0016,4289400000,0.1,43,3050,15050
4,6,4.7,4.7,4.1,NA,Trading,0.066,0.066,5.00E+07,0.1,50,NA,3.70E+07
3.3,0,NA,NA,NA,12963348,Ended,0.15,0.15,1.30E+08,10,13,5.00E+06,19500000
3.2,5,2.8,3.5,3.5,52712179,Trading,0.2497,0.2497,2.75E+08,NA,75,15,93839
3.6,7,4.2,4.4,2.7,10437623,Trading,0.283,0.283,1.69E+09,NA,65,7.00E+06,1.20E+07
3.2,0,NA,NA,NA,7.00E+05,Ended,0.054,0.054,1.00E+08,NA,66,5.00E+05,5.00E+06
3.4,3,3.2,4.7,3.2,NA,Ended,1.2146,1.2146,12700000,0.5,62,500,44650
3.2,0,NA,NA,NA,NA,Ended,0.0185,0.0185,6.50E+08,0.1,86,NA,3.00E+07
3.2,0,NA,NA,NA,NA,Ended,0.1,0.1,NA,10,NA,NA,NA
3.2,0,NA,NA,NA,NA,Ended,1,1,5.00E+07,1,80,2.00E+06,5.00E+07
3.5,3,3.6,4.3,3.7,1.00E+07,Ended,0.36,0.36,NA,NA,30,1.00E+07,4.70E+07
3.4,6,3.5,3.8,3.3,2558898,Ended,0.42,0.42,1.00E+08,0.01,71.4,3000,NA
3.3,2,4.1,3.6,3.6,NA,Ended,0.37,0.37,6.70E+07,0.03,67,4.00E+06,1.20E+07
3.7,15,4.3,3.5,4,12500000,Ended,0.124,0.124,5.00E+08,10,NA,NA,1.00E+07
3.4,1,4,4,4,NA,Ended,0.3,0.3,1.30E+08,1,65,1500000,3.90E+07
3.6,2,4.8,4.8,4.6,5163000,Trading,0.0631,0.0631,NA,NA,NA,NA,NA
3.2,4,3,3.3,3.2,3648100,Ended,0.9,0.9,1.00E+09,50,10,13900000,6.00E+07
3.3,1,4,4,4,3.00E+06,Trading,0.5,0.5,6900000,NA,NA,50,175
3.9,25,4.1,4,4,2.80E+07,Ended,0,0,33600000,NA,80,1.00E+07,3.50E+07
2.6,2,1.8,1.8,1.8,NA,Ended,0.0043,0.0043,8.00E+08,0.5,66,1.00E+06,1.00E+07
3.5,6,3.9,3.4,3.5,NA,Ended,0.1187,0.1187,178500000,NA,85,NA,NA
3.2,0,NA,NA,NA,NA,Ended,1.1397,1.1397,NA,NA,NA,NA,5.00E+06
3.3,9,3.8,3.3,3.1,NA,Ended,8.6871,8.6871,4.00E+09,NA,60,NA,32000
2,6,1.3,1.5,1.5,NA,Ended,0.5,0.5,85000,NA,8.5,1.00E+07,2.50E+07
3.2,0,NA,NA,NA,2700000,Trading,3.0138,3.0138,5.00E+06,NA,41.55,NA,NA
3.3,0,NA,NA,NA,1483492,Trading,0.2032,0.2032,1.25E+08,NA,NA,NA,NA
3.2,0,NA,NA,NA,1566332,Trading,0.1519,0.1519,29400000,NA,30,NA,58800000
3.3,3,4,3.3,3,24335000,Trading,0.1,0.1,3.50E+08,NA,35,NA,3.50E+08
3.2,0,NA,NA,NA,NA,Ended,8.00E-04,8.00E-04,4.00E+10,NA,40,2650,101000
3.2,0,NA,NA,NA,NA,Ended,0.2293,0.2293,2.00E+07,0.5,22,3.00E+06,2.00E+07
3.2,0,NA,NA,NA,NA,Ended,0.2,0.2,2.00E+07,50,10,NA,4500000
3.3,0,NA,NA,NA,NA,Ended,0.2,0.2,2.50E+08,1,50,1.00E+06,2.50E+08
3.5,3,3.9,4.6,3.9,19710000,Trading,0.89,0.89,7.00E+07,NA,NA,NA,2.00E+05
3.4,0,NA,NA,NA,2237880,Ended,0.2633,0.2633,2.50E+07,NA,NA,5.00E+06,NA
3.2,0,NA,NA,NA,NA,Ended,0.07,0.07,2.50E+08,NA,50,NA,1.60E+07
4.2,28,4.1,4.6,4.3,8484606,Trading,0.245,0.245,4.00E+07,0.1,80,NA,16000
3.6,1,4,5,5,150000,Ended,0.05,0.05,5.00E+08,NA,NA,150000,2.40E+07
3.2,0,NA,NA,NA,3.00E+07,Trading,0.5,0.5,5.00E+08,NA,NA,NA,NA
3.5,24,3.9,3.7,3.2,1321653,Ended,0.023,0.023,6.93E+08,NA,33,NA,1.00E+07
3.2,0,NA,NA,NA,NA,Ended,0.4922,0.4922,13125000,NA,62.5,NA,2460000
3.2,1,2,4,4,1380644,Ended,0.5,0.5,NA,NA,50,NA,1.50E+07
3.2,0,NA,NA,NA,NA,Trading,0.0863,0.0863,1.75E+08,NA,45,NA,28530000
3.1,4,2.6,3,2.7,357650,Ended,0.6667,0.6667,2.50E+07,0.1,36,600,17376
3,0,NA,NA,NA,NA,Ended,0.375,0.375,8.00E+07,0.1,80,NA,1.20E+07
3,0,NA,NA,NA,NA,Ended,0.5,0.5,5.00E+07,NA,50,2.00E+06,5.00E+07
3,0,NA,NA,NA,NA,Ended,0.25,0.25,212500000,NA,70,5.00E+06,3.00E+08
3,0,NA,NA,NA,6.00E+06,Ended,0.8,0.8,NA,NA,NA,NA,NA
3.3,4,4,3.5,3.5,2513535,Ended,1,1,26400000,NA,88,NA,3.00E+07
3,0,NA,NA,NA,5.00E+06,Ended,0.5,0.5,6.50E+07,NA,65,5.00E+06,1.80E+07
3.6,8,3.7,4.5,3.6,1400000,Ended,0.078,0.078,NA,NA,73,1300000,9550000
2.6,2,1.9,1.5,1.5,NA,Ended,0.15,0.15,7.00E+07,50,70,7500000,21878205
3,1,3,3,3,NA,Ended,1,1,5.00E+05,NA,100,NA,5.00E+05
3.1,1,3,3,4,NA,Ended,2.4327,2.4327,3600000,0.05,36,235,1236
3.1,2,3,3.5,3.5,NA,Ended,0.01,0.01,1.20E+09,NA,60,5.00E+05,1.20E+07
3.1,2,3.3,3.6,3.3,191570,Trading,0.847,0.847,6.00E+07,NA,60,NA,NA
3,0,NA,NA,NA,NA,Ended,0.526,0.526,52499901,NA,69,NA,4.50E+07
3,11,3.8,3.2,2.2,2550450,Ended,2.5,2.5,12500000,0.05,NA,NA,5.00E+07
2.7,1,2,2,2,20778000,Ended,0.2,0.2,7.80E+08,NA,39,1.00E+07,1.50E+08
3,0,NA,NA,NA,1922000,Ended,0.0489,0.0489,2.50E+08,NA,50,NA,12000
3,0,NA,NA,NA,NA,Ended,0.3307,0.3307,NA,0.1,45,5.00E+06,2.50E+08
3,0,NA,NA,NA,NA,Ended,0.0049,0.0049,4.00E+09,NA,40,NA,40000
3,0,NA,NA,NA,3870086,Trading,1.874,1.874,66666666,NA,NA,3500,66666
3.1,5,3,3.4,2.6,5200000,Trading,0.01,0.01,7.00E+08,5,NA,NA,7.00E+06
3.3,3,3.8,3.7,4.1,4200000,Trading,0.0812,0.0812,NA,NA,50,29000,99999
3.2,7,2.9,4.1,2.7,397916,Ended,0.077,0.077,4.00E+07,0.1,40,1000,8000
3,0,NA,NA,NA,NA,Ended,0.0562,0.0562,363200000,NA,80,18000,32000
2.8,6,2.6,3,2.5,NA,Ended,0.0242,0.0242,5.00E+08,NA,50,NA,1.60E+07
3,0,NA,NA,NA,5300000,Ended,0.2,0.2,2.40E+08,1,50,NA,2.00E+07
3,0,NA,NA,NA,45000,Ended,5.00E-04,5.00E-04,5.00E+08,NA,50,50,500
3,1,3,3,3,NA,Ended,482.04,482.04,NA,NA,NA,20000,4.00E+05
3,0,NA,NA,NA,8515210,Ended,0.0774,0.0774,NA,NA,40,3000,125000
2.9,0,NA,NA,NA,NA,Ended,0.0094,0.0094,4.20E+08,0.00124,42,3500,75000
3.2,0,NA,NA,NA,6215827,Trading,0.35,0.35,NA,NA,70,2.00E+06,3.50E+07
3,0,NA,NA,NA,NA,Ended,0.0661,0.0661,3.90E+07,0.5,78,NA,NA
3,0,NA,NA,NA,NA,Ended,0.043,0.043,2.00E+08,0.1,52,3.00E+06,2.00E+07
3,0,NA,NA,NA,11300000,Ended,0.023,0.023,1.04E+09,NA,80,3500000,11300000
3,0,NA,NA,NA,NA,Ended,0.0102,0.0102,5.00E+08,NA,25,100,7100
2.7,2,1.7,2,2.3,NA,Ended,0.1,0.1,1.40E+08,1,70,NA,2.00E+08
3.3,1,4,4,4,11539715,Ended,0.11,0.11,NA,50,97.5,2.00E+06,1.50E+07
2.9,0,NA,NA,NA,3.00E+06,Ended,0.501,0.501,110500000,NA,36.83,3.00E+06,NA
3,0,NA,NA,NA,366859,Ended,0.2281,0.2281,NA,NA,NA,NA,NA
3,2,3.3,3,3,NA,Ended,0.2,0.2,5.00E+08,NA,30,3500000,2.00E+07
3,2,3,4,3.6,5800000,Trading,0.095,0.095,NA,NA,NA,NA,NA
3.3,5,3.8,3.1,3.5,NA,Ended,1.6346,1.6346,5.00E+07,NA,NA,NA,NA
3,0,NA,NA,NA,NA,Ended,1.2561,1.2561,22815000,0.2,65,7000,68000
3.3,0,NA,NA,NA,3.00E+06,Ended,0.0024,0.0024,NA,0.1,NA,1.50E+09,8.70E+09
3.6,6,4.2,4.6,3.1,NA,Ended,1.19,1.19,15817083,NA,55,3333,16666
3.4,6,3.7,3.7,3.6,4.00E+07,Trading,0.01,0.01,1.00E+10,NA,50,5.00E+06,4.00E+07
3,0,NA,NA,NA,NA,Ended,1,1,6.40E+07,NA,64,6400000,6.40E+07
3.4,0,NA,NA,NA,572539,Ended,0.8295,0.8295,1.50E+08,NA,100,NA,2000
3.1,1,3,3,4,1.00E+07,Trading,0.0032,0.0032,3141592653,NA,50,1.00E+07,NA
3.5,2,4.8,4.3,4.3,1.05E+08,Trading,0.3074,0.3074,5.00E+08,NA,50,5.00E+08,NA
3,0,NA,NA,NA,5.00E+06,Trading,0.1719,0.1719,1.30E+08,0.25,65,840000,2.00E+08
3.3,3,3.7,3.6,4.5,1531146,Trading,2.4,2.4,NA,NA,87,1500000,NA
3.1,3,3.5,3,3.5,NA,Trading,0.346,0.346,1172500000,NA,70,1.00E+05,5.00E+05
3,0,NA,NA,NA,76102,Ended,0.15,0.15,2.00E+08,NA,100,5.00E+05,1.00E+07
3.4,2,2,4,3.7,NA,Ended,0.07,0.07,4.10E+08,NA,41,NA,NA
2.9,2,3,2.5,2.5,NA,Ended,2.76,2.76,1.00E+08,NA,70,16500,1.00E+05
3.2,4,3.9,4,3.4,NA,Ended,0.65,0.65,2.00E+08,NA,85,NA,2.00E+08
3,5,3,3.4,2.4,NA,Trading,0.44,0.44,6.00E+08,1,86,1.00E+05,250000
3.6,7,3.8,4.2,4.1,750000,Ended,0.15,0.15,140800000,NA,NA,3.00E+06,1.20E+07
3.2,6,3.6,3.4,3.2,NA,Ended,0.1289,0.1289,463027500,0.001,65,5.00E+06,5.00E+07
3.1,6,3.5,3.4,2.6,NA,Ended,0.611,0.611,1.75E+08,NA,80,4.00E+06,1.20E+07
2.2,2,1,1,1,NA,Ended,0.03,0.03,4.00E+08,10,85,4.00E+06,8500000
3,0,NA,NA,NA,NA,Ended,1,1,55900000,1,86,NA,NA
2.9,2,2.5,3.1,3.2,7.00E+06,Trading,1.55,1.55,NA,5,NA,3500000,NA
3.1,4,3.3,4.3,2.7,NA,Ended,0.4439,0.4439,NA,NA,NA,NA,99999000
3.2,2,4.4,4.4,3.8,1600000,Ended,0.02,0.02,331700000,NA,93.9,1600000,6.00E+06
3,1,3,5,3,NA,Ended,0.1,0.1,NA,NA,NA,7500000,1.50E+07
2.9,0,NA,NA,NA,NA,Ended,39.5,39.5,638000,NA,58,7400000,32400000
3.2,8,3.2,3.9,3.1,1482000,Trading,0.6,0.6,NA,NA,NA,5000,125000
3,2,3,4,3,NA,Ended,0.2693,0.2693,7.50E+07,NA,75,3500,23000
2.9,0,NA,NA,NA,NA,Ended,0,0,50000,100,NA,NA,1.80E+07
2.8,0,NA,NA,NA,7139700,Trading,0.9962,0.9962,NA,NA,NA,NA,NA
2.9,0,NA,NA,NA,NA,Ended,0.85,0.85,22500000,NA,15,NA,NA
2.9,0,NA,NA,NA,NA,Ended,0.0039,0.0039,4.00E+09,1,40,12000,66700
2.9,0,NA,NA,NA,NA,Ended,0.0763,0.0763,1.75E+08,NA,60,NA,NA
2.8,1,3,2,3,NA,Ended,0.02,0.02,5.00E+08,NA,60,5.00E+06,3.00E+07
3.6,32,3.9,3.7,3.2,14060000,Ended,0.38,0.38,74750000,50,84.6,NA,23625000
2.9,0,NA,NA,NA,4025989,Trading,1,1,1.50E+07,NA,NA,NA,NA
2.9,0,NA,NA,NA,NA,Ended,0.1926,0.1926,1.50E+08,NA,50,NA,NA
3.8,12,4,4.4,4.2,3869308,Trading,1.1,1.1,66666666,NA,NA,NA,66666
3,2,2.6,4.6,2.4,NA,Ended,0.4804,0.4804,3.00E+07,NA,75,NA,NA
2.9,0,NA,NA,NA,9.00E+06,Ended,0.1707,0.1707,7.00E+07,1,12.84,NA,NA
2,3,1.2,1.2,1,NA,Ended,0.09,0.09,5.70E+07,NA,57,1300000,6.00E+06
2.9,0,NA,NA,NA,NA,Ended,0.0046,0.0046,7.50E+08,0.02,75,1000,1500
2.9,0,NA,NA,NA,NA,Ended,0.0113,0.0113,5.50E+08,NA,55,3000,10000
2.9,0,NA,NA,NA,NA,Trading,0.5,0.5,8.50E+07,NA,85,5.00E+05,3.70E+07
3.1,3,3.3,3.9,3.3,NA,Ended,0.1,0.1,2.50E+08,NA,65,3.00E+06,2.50E+07
3.1,2,4,4,3.7,41346171,Ended,2,2,NA,NA,45,NA,101970000
2.9,0,NA,NA,NA,NA,Ended,1.4376,1.4376,6.00E+06,NA,60,NA,NA
3.4,3,4.4,4.2,4,2.00E+07,Trading,1.2,1.2,3.00E+07,NA,NA,NA,NA
2.9,0,NA,NA,NA,103801,Trading,0.0318,0.0318,NA,NA,NA,NA,25000
4,15,4.6,4.3,3.9,4384281,Ended,2,2,1.00E+07,NA,70,2.00E+06,1.40E+07
2.9,0,NA,NA,NA,NA,Ended,0.1853,0.1853,NA,0.2,50,1.00E+06,1.00E+07
2.8,0,NA,NA,NA,4262280,Ended,0.016,0.016,434259598,0.1,43,NA,1.00E+07
2.9,0,NA,NA,NA,20342000,Ended,0.0226,0.0226,9.00E+08,NA,9,NA,45000
3.1,1,4,3,3,NA,Ended,0.0706,0.0706,1.00E+09,NA,42.5,NA,2.50E+07
3.9,9,4.3,4.7,4.1,5.00E+06,Ended,1,1,NA,0.01,70,NA,1.90E+07
3,1,3,4,3,NA,Ended,0.1,0.1,4.40E+08,100,NA,NA,4.30E+07
2.9,0,NA,NA,NA,NA,Ended,0.0195,0.0195,362500000,NA,72,2.00E+06,1.00E+07
2.9,0,NA,NA,NA,NA,Ended,0,0,1.30E+09,200,65,NA,NA
3,0,NA,NA,NA,NA,Ended,1.6372,1.6372,1.40E+10,1,40,5600000,5.60E+07
2.9,0,NA,NA,NA,NA,Ended,0.43,0.43,34878000,10000,49,3.00E+06,1.50E+07
2.3,1,1,1,1,311000,Ended,0.2,0.2,1.00E+09,NA,75,NA,NA
2.9,0,NA,NA,NA,NA,Ended,0.313,0.313,1.32E+08,NA,22,NA,NA
2.9,0,NA,NA,NA,NA,Trading,0.23,0.23,3.50E+07,NA,70,NA,1.00E+08
2.9,0,NA,NA,NA,2.00E+06,Ended,0.0031,0.0031,3.00E+09,0.1,33,2500,19000
2.9,0,NA,NA,NA,NA,Ended,0.0502,0.0502,1.50E+08,200,20,NA,NA
2.9,0,NA,NA,NA,1600000,Ended,0.1,0.1,201600000,0.1,36,2.00E+07,201600000
3.9,5,4.3,4.8,5,NA,Ended,1,1,NA,NA,NA,NA,5.00E+07
3.2,2,4,4,4,12500000,Ended,0,0,5.00E+08,NA,50,NA,12500000
2.9,0,NA,NA,NA,1987132,Ended,0.006,0.006,5.60E+07,0.2,50,5.00E+06,5.60E+07
2.9,0,NA,NA,NA,7260000,Ended,0.01,0.01,2.26E+16,NA,50,5.00E+06,NA
3.2,2,4.4,4.6,4,NA,Ended,0,0,39900000,NA,83.33,9,30
3.1,3,3.6,3.6,2.6,NA,Ended,0.0014,0.0014,2.10E+09,NA,70,500,3750
2.9,0,NA,NA,NA,NA,Ended,0.049,0.049,2.10E+08,100,21,1000,21000
2.9,0,NA,NA,NA,6987000,Ended,0.0763,0.0763,3.39E+08,NA,NA,NA,3.50E+08
3.8,4,4.3,4.6,4.3,21780000,Ended,0.015,0.015,6.00E+09,NA,33,2500000,21780000
3.4,4,3.6,3.8,4.1,NA,Ended,0.1,0.1,4.08E+08,1,NA,3.00E+06,6.00E+07
3.7,6,4.3,4.8,4.7,2233700,Ended,0.1,0.1,5.00E+07,NA,60,750000,5.00E+06
3.3,7,4.1,3.8,3.2,5087896,Trading,0.12,0.12,1.34E+08,NA,67,1500000,1.60E+07
2.9,0,NA,NA,NA,8.00E+06,Ended,0.8,0.8,6.50E+07,NA,65,2.00E+06,2.70E+07
2.9,0,NA,NA,NA,NA,Trading,0.01,0.01,NA,NA,NA,NA,NA
2.9,0,NA,NA,NA,NA,Ended,0.828,0.828,NA,NA,NA,NA,NA
2.5,1,1,2,1,NA,Ended,5.00E-04,5.00E-04,NA,NA,NA,50000,1.90E+07
2.9,0,NA,NA,NA,NA,Ended,1.5828,1.5828,4.00E+06,NA,NA,NA,NA
3,3,3.5,3.4,3.1,NA,Ended,0.1,0.1,NA,NA,51,1.00E+06,1.00E+07
2.9,0,NA,NA,NA,NA,Ended,0.1,0.1,2.00E+07,NA,NA,NA,2.00E+06
2.9,0,NA,NA,NA,5.50E+07,Ended,3,3,4.50E+07,NA,44,NA,NA
2.9,0,NA,NA,NA,278198,Ended,0.5315,0.5315,5.00E+07,NA,25,2.50E+07,1.00E+08
2.9,1,3,3,2,NA,Ended,0,0,NA,NA,NA,2.00E+07,7.50E+07
3.2,0,NA,NA,NA,NA,Ended,1,1,NA,1000,NA,NA,2.00E+06
2.8,0,NA,NA,NA,NA,Ended,0.4,0.4,2.50E+07,NA,NA,1.00E+06,1.00E+07
2.8,0,NA,NA,NA,3895710,Trading,0.152,0.152,2.50E+08,NA,NA,11666,125000
2.8,0,NA,NA,NA,NA,Ended,0.01,0.01,5.00E+07,100,50,1.00E+05,5.00E+07
2.8,0,NA,NA,NA,NA,Ended,0.0174,0.0174,3.00E+09,0.1,50,5.00E+06,2.25E+08
2.9,2,3,4.7,2.3,NA,Ended,25.52,25.52,NA,NA,NA,NA,NA
2.8,0,NA,NA,NA,NA,Ended,0.0216,0.0216,2.45E+08,1,NA,5000,15000
2.8,0,NA,NA,NA,NA,Ended,0.5,0.5,9.00E+06,NA,90,NA,4500000
2.8,1,3,2,2,NA,Ended,1,1,NA,NA,NA,NA,NA
3.1,3,3.6,3.3,3.3,3731609,Trading,0.3,0.3,122400000,NA,72,NA,NA
